#-----------------------------------------------------------
#-----------------------------------------------------------
#----- all samples that are currently available ------------
#-----------------------------------------------------------
#
#-----------------------------------------------------------
#----------------- data samples ----------------------------
# BLOCK        COLOR                         NAME                 LABEL                                     LOCATION OF FRIENDS                                                     XSEC     ISDATA
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
#----------------- monte carlo -----------------------------
#-----------------------------------------------------------
# BLOCK     COLOR         NAME                       LABEL                       LOCATION OF FRIENDS                                                                   XSEC    ISDATA
#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Diboson         r.kBlue-3       WJetsToLNu                                ZZ,WZ,WW                       /eos/user/f/fernance/LLPNTuples/2016/MC/WJetsToLNu_0000.root                61526700   0 
Diboson         r.kBlue-3       WW                                        ZZ,WZ,WW                       /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/WW/                             118700      0 
Diboson         r.kBlue-3       WZ                                        ZZ,WZ,WW                       /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/WZ/                             47130      0 
Diboson         r.kBlue-3       ZZ                                        ZZ,WZ,WW                       /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/ZZ/                             16523      0 
TTJets          r.kAzure-4      TT                                        t#bar{t}                       /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/TT/                           831760     0 
DYJets          r.kAzure+10     DYJetsToLL_M-50                           Z/#gamma*#rightarrowl#bar{l}   /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DYJetsToLL_M-50/                6077220    0 
DYJets          r.kAzure+10     DYJetsToLL_M-10to50                       Z/#gamma*#rightarrowl#bar{l}   /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DYJetsToLL_M-10to50/            18610000   0 
###########################################################################
HXX_1000_350_350mm  r.kYellow         HXX_1000_350_350mm                HXX(1000,350,350)                  /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/HXX_1000_350_350mm/            0.3825   0
HXX_1000_350_35mm   r.kOrange     HXX_1000_350_35mm                 HXX(1000,350,35)                   /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/HXX_1000_350_35mm/             0.3825   0
HXX_1000_150_100mm  r.kRed          HXX_1000_150_100mm                HXX(1000,150,100)                  /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/HXX_1000_150_100mm/            0.7739   0
HXX_1000_150_10mm   r.kMagenta+2        HXX_1000_150_10mm                 HXX(1000,150,10)                   /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/HXX_1000_150_10mm/             0.7739   0
HXX_400_150_400mm   r.kBlue+2      HXX_400_150_400mm                 HXX(400,150,400)                   /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/HXX_400_150_400mm/             677.3    0
HXX_400_50_400mm    r.kAzure        HXX_400_50_400mm                  HXX(400,50,400)                    /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/HXX_400_50_400mm/              632.1    0
HXX_400_50_40mm     r.kSpring      HXX_400_50_40mm                   HXX(400,50,40)                     /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/HXX_400_50_40mm/               632.1    0
HXX_400_50_4mm      r.kGreen+2      HXX_400_50_4mm                    HXX(400,50,4)                      /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/HXX_400_50_4mm/                632.1    0
###   DoubleEG Data   ########################################################################
Data          r.kBlack       DoubleEG_Run2016B                          Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleEG_Run2016B/    1    1
Data          r.kBlack       DoubleEG_Run2016C                          Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleEG_Run2016C/    1    1
Data          r.kBlack       DoubleEG_Run2016D                          Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleEG_Run2016D/    1    1
Data          r.kBlack       DoubleEG_Run2016E                          Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleEG_Run2016E/    1    1
Data          r.kBlack       DoubleEG_Run2016F                          Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleEG_Run2016F/    1    1
Data          r.kBlack       DoubleEG_Run2016G                          Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleEG_Run2016G/    1    1
Data          r.kBlack       DoubleEG_Run2016H                          Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleEG_Run2016H/    1    1
###   DoubleMuon Data   ########################################################################
Data          r.kBlack       DoubleMuon_Run2016B                        Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleMuon_Run2016B/   1    1
Data          r.kBlack       DoubleMuon_Run2016C                        Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleMuon_Run2016C/     1    1
Data          r.kBlack       DoubleMuon_Run2016D                        Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleMuon_Run2016D/   1    1
Data          r.kBlack       DoubleMuon_Run2016E                        Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleMuon_Run2016E/    1    1
Data          r.kBlack       DoubleMuon_Run2016F                        Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleMuon_Run2016F/           1    1
Data          r.kBlack       DoubleMuon_Run2016G                        Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleMuon_Run2016G/   1    1
Data          r.kBlack       DoubleMuon_Run2016H                        Data                              /eos/user/f/fernance/LLP_Analysis/NTuples/2016_v3/DoubleMuon_Run2016H/   1    1
